Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-01-30,Scooby-Doo,2002,https://boxd.it/8FxZSn,3,Yes,This is the first movie that really encapsulates what it’s like to be a stoner who loves to get in hijinks with their stupid dog,"good styling, so much fun, smoke a j first, nostalgic <3, frankie core, 2000s, '95 - '05, profile",2025-01-29
2025-01-31,Megalopolis,2024,https://boxd.it/8Gc1qZ,2,,"I did not like this movie, but I did like watching this movie.","idk how to rate this, smoke a j first, w/ zubin, 2020s",2025-01-30
2025-02-02,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/8HH8Zj,4.5,,Nothing like what I expected it to be! Peter Sellers was incredible. Paused multiple times to just stare at the shot.,"w/ dad, good dialogue, good editing, good acting, good cinematography, every frame a painting, 60s, national film registry, criterion collection, b&w, one day",2025-02-01
2025-02-04,Madame Web,2024,https://boxd.it/8JcNTd,1,Yes,Her web connects us all,"w/ emily, 2020s, female director, female writer, superheroes",2025-02-03
2025-02-05,Jennifer's Body,2009,https://boxd.it/8JQbVZ,4.5,Yes,"<i>“Move on dot org” </i>

Tracy Morgan could do Jennifer Check but Megan Fox could never do Tracy Jordan","good styling, so much fun, good soundtrack, incredible performance, good for her, 2000s, female director, cunt classic, female writer",2025-02-04
2025-02-06,Lisa Frankenstein,2024,https://boxd.it/8Kh8d5,3.5,,"<i>“Smells like camp in here.”</i>

Watched <i>Jennifer’s Body</i> last night (1) because it’s one of my favorite movies and (2) because I wanted to have a Diablo Cody double feature!! So happy I did that, <a href=""https://boxd.it/5NlXFZ"" rel=""nofollow"">her pen really is the eighth wonder of the world</a>. A lot of really good one-liners, but what stood out most was how we’re punished for assuming these women are stupid just because they’re funny or talk about boys. It seems like Cody really likes to play with the Bechdel test. 

Kathryn Newton rocked; her performance was fab, and I felt really seen in a way only another Kathryn could have done. If I had a nickel for every time that Kathryn Newton’s character was obsessed with losing her virginity I’d have two nickels, which isn’t that much but it’s weird it’s happened twice.

Back to the first paragraph, I really love that making fun of Taffy was left to the viewers (I never took that bait!). Her docs at the end when visiting Lisa <3","so much fun, feeling seen, halloween vibes, they matched each other's freak, good for her, 2020s, female director, camp, zombies",2025-02-05
2025-02-06,Delicatessen,1991,https://boxd.it/8KpwsJ,3.5,,"<i>“I break things, so I always buy two.”</i>

In another life I think I’d love just clowning around and playing the musical saw with you","idk how to rate this, smoke a j first, beautiful, they matched each other's freak, w/ mom, 90s, !american, !in english, surrealism, '85 - '95",2025-02-05
2025-02-07,Companion,2025,https://boxd.it/8KMmjt,4,,"<i>“I’m sure this must be a lot to process.”</i>

Your monthly reminder to NEVER trust a man with a J-name. 

I’m so glad I watched both <i>The Stepford Wives</i> before seeing <i>Companion</i>; I see hauntings of <i>Ex Machina</i> and <i>Don’t Worry, Darling </i>in here (maybe even <i>Blade Runner</i>, too?), but this movie is in pretty direct dialogue with Stepford Wives (the car as the “smart home,” anyone?).

A very feminist movie. Kat was a great and needed character; she was the only person on screen who understood how depraved the men around her are. Her treatment of Sergei was less taxing on her than Josh’s treatment of Sophie was to him, but that’s because Kat was the one of the two who understood that they were bad people. It was fabulous that Sergei didn’t have a companion; the men of this universe are abusers and the only thing that differentiates those who abuse companions w those that abuse humans is how much power they have to get away with it.

Eli very clearly thought he was innocent of the cruelty, selfishness, shallowness, and insecurity that Josh (and maybe all straight men in this universe) had, and I was happy to see how Eli and Patrick were unwittingly used to uphold patriarchy and heteronormativity. I noticed Patrick was always treated with far more respect than Iris, and I doubt it’s because Iris killed Eli. 

Excited for a rewatch to get more of these, but some moments that I really loved:
- the first time Iris smiles and we see her gorgeous but “imperfect” teeth. I love real teeth!!!!
- the foreshadowing around Iris being a robot
   - “beep boop” nickname
   - thanking the car
   - her first shower; her face gets wet but her makeup is perfect, her hair gets somewhat wet but she doesn’t wash it and then isn’t seen styling it. Chalked the hair up to movie bullshit at the time, but no!
     - Kat telling Iris she makes her feel “replaceable”
     - Josh and her having sex
- Josh tying his girlfriend up and the first thing he says when she wakes being “you’re okay”
- Kat calling Iris a “sock” and Josh disagreeing
- Iris using an over-engineered electric corkscrew to kill Josh

One question: why does everyone in this universe have folding phones?

Shoutout to Jack Quaid, Sophie Thatcher, Harvey Guillen, Lukas Gage, and Megan Suri for really fab performances.","good dialogue, good cinematography, beautiful, good score, good for her, 2020s, theater, fabulous title card",2025-02-06
2025-02-08,Dazed and Confused,1993,https://boxd.it/8LAwb5,4,,"<i>“I’m just trying to be honest about being a misanthrope!”</i>

Oh, to long for a time in which I never lived. One of those movies that’s really worth watching w your parents so they get to spend 100 minutes going “oh I had those shoes!” “my brother had that car!”","w/ dad, good styling, good dialogue, good soundtrack, good cinematography, beautiful, smoke a j first, w/ mom, i love my mom, i love my dad, 90s, criterion collection, '85 - '95, one day",2025-02-07
2025-02-09,Parasite,2019,https://boxd.it/8McES3,5,Yes,"Watching Ki-Jung smoke a cigarette while crouching on a sewage-belching toilet… we really do come to this place for magic

Hadn’t seen this in theaters yet so balled out and watched this on the IMAX screen at the Metreon. Holy cannoli. It’s fucked up that I don’t have that setup in my basement

This time watching I was almost wholly focused on the mothers, and it was such a fun way to watch the movie! I love that this movie is so infinitely rewatchable

On my <a href=“https://letterboxd.com/katswnt/list/could-be-in-my-top-4/”>”Could be in my top 4” list</a>","w/ briana, w/ emily r, imax, metreon, good acting, good cinematography, beautiful, good editing, good score, neon, 2010s, best picture winner, best director winner, criterion collection, !american, !in english, female writer, theater, best foreign language film winner, best screenplay winner, palme d'or winner",2025-02-08
