Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-11-07,Police Story,1985,https://boxd.it/bCRazV,4,,"80s, love sucks movie fest 2025, !american, !in english, criterion collection, janus films, color grading perfection, cops, mooford loved this, so much fun, smoke a j first, mafia movie",2025-11-06
2025-11-08,Frankenstein,2025,https://boxd.it/bDCqqT,3,,"2020s, love sucks movie fest 2025, w/ briana, bechdel fail, hey that's the name of the movie, needs a rewatch, long review",2025-11-07
2025-11-11,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/bFZnd7,3.5,,"90s, love sucks movie fest 2025, w/ dad, i love my dad, directorial debut, heist movie, so much fun, good dialogue, smoke a j first, !american, bechdel fail, good score",2025-11-10
2025-11-12,Bugonia,2025,https://boxd.it/bGH5ax,4.5,,"2020s, love sucks movie fest 2025, w/ hannah, w/ jill, w/ emily r, theater, good cinematography, beautiful, good acting, incredible performance, good score, needs a rewatch, idk how to rate this, color grading perfection, stressful!",2025-11-11
2025-11-14,Reservoir Dogs,1992,https://boxd.it/bHTj9r,3.5,,"90s, love sucks movie fest 2025, directorial debut, bechdel fail, stressful!, idk how to rate this, good soundtrack, w/ dad",2025-11-13
2025-11-16,One Battle After Another,2025,https://boxd.it/bJoM9h,4.5,,"2020s, love sucks movie fest 2025, w/ dad, i love my dad, good score, good cinematography, good acting, good casting, good dialogue, hey that's the name of the movie, stressful!",2025-11-15
2025-11-19,Dune,2021,https://boxd.it/bLtYRt,4.5,Yes,"2020s, love sucks movie fest 2025, w/ dad, good cinematography, beautiful, good acting, good styling, good dialogue, smoke a j first, good score, hey that's the name of the movie, best cinematography winner, best sound winner, best original score winner, best production design winner, best editing winner, best special effects winner",2025-11-18
2025-11-22,Memories of Murder,2003,https://boxd.it/bNoSXj,4.5,,"2000s, love sucks movie fest 2025, !american, !in english, notable fourth wall break, criterion collection, neon, good cinematography, good acting, good score, cops",2025-11-21
2025-11-24,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/bOXxsD,5,Yes,"2010s, love sucks movie fest 2025, w/ emily r, beautiful, so much fun, good dialogue, smoke a j first, good score, good soundtrack, best animated movie winner, visually gorgeous, superheroes, nyc",2025-11-23
2025-11-27,Lady Vengeance,2005,https://boxd.it/bR0S2P,4,,"2000s, love sucks movie fest 2025, revenge, !american, !in english, female writer, notable fourth wall break, good cinematography, beautiful, incredible performance, good for her",2025-11-26
2025-11-28,The Square,2017,https://boxd.it/bRuIOz,3,,"2010s, love sucks movie fest 2025, !american, !in english, palme d'or winner, hey that's the name of the movie, long review",2025-11-27
2025-11-28,Bridesmaids,2011,https://boxd.it/bRA22l,4,Yes,"2010s, love sucks movie fest 2025, w/ mom, w/ dad, w/ emily, so much fun, good dialogue, hey that's the name of the movie, gay halloween, nostalgic <3, female writer",2025-11-27
2025-11-30,Wicked: For Good,2025,https://boxd.it/bSMprV,2.5,,"2020s, love sucks movie fest 2025, w/ emily r, theater, musical, fabulous title card",2025-11-29
2025-12-01,Knives Out,2019,https://boxd.it/bTOVMz,4.5,Yes,"2010s, love sucks movie fest 2025, something wellesley this way comes, good acting, so much fun, good styling, good dialogue, massholes, murder mystery",2025-11-30
2025-12-02,Glass Onion,2022,https://boxd.it/bUrclV,3,Yes,"2020s, love sucks movie fest 2025, murder mystery, notable fourth wall break, so much fun, w/ emily r, hey that's the name of the movie",2025-12-01
2025-12-06,Hot Rod,2007,https://boxd.it/bWNsqz,4,,"2000s, love sucks movie fest 2025, w/ briana, watched in tahoe, smoke a j first, so much fun, good dialogue, feeling seen",2025-12-05
2025-12-07,Charlie's Angels,2000,https://boxd.it/bXB86J,2.5,Yes,"love sucks movie fest 2025, w/ briana, watched in tahoe, suspicious wig work, gorgeous cars, spy movie, nostalgic <3, gay halloween, camp",2025-12-06
2025-12-07,Charlie's Angels: Full Throttle,2003,https://boxd.it/bXF8yh,3,Yes,"love sucks movie fest 2025, w/ briana, watched in tahoe, gorgeous cars",2025-12-06
